x,y,z
0.01,0.04,-1.02
0.01,0.04,-1.03
0.01,0.04,-1.03
0.01,0.04,-1.02
0.01,0.04,-1.03
0.01,0.04,-1.03
0.01,0.04,-1.02
0.01,0.04,-1.03
0.01,0.04,-1.03
0.01,0.04,-1.02
0.01,0.04,-1.02
0.01,0.03,-1.03
0.01,0.04,-1.02
0.01,0.04,-1.02
0.01,0.04,-1.03
0.01,0.04,-1.02
0.01,0.04,-1.03
0.01,0.04,-1.03
0.01,0.04,-1.02
0.01,0.04,-1.02
0.01,0.04,-1.03
0.01,0.04,-1.02
0.01,0.04,-1.02
0.01,0.04,-1.03
0.01,0.04,-1.02
0.01,0.04,-1.03
0.01,0.04,-1.03
0.01,0.04,-1.02
0.01,0.04,-1.03
0.01,0.04,-1.03
0.01,0.04,-1.02
0.01,0.04,-1.02
0.01,0.04,-1.03
0.01,0.04,-1.03
0.01,0.04,-1.03
0.01,0.04,-1.03
0.01,0.04,-1.02
0.01,0.04,-1.03
0.01,0.04,-1.03
0.01,0.04,-1.02
0.01,0.04,-1.03
0.01,0.04,-1.03
0.01,0.04,-1.03
0.01,0.04,-1.03
0.01,0.04,-1.03
0.01,0.04,-1.02
0.01,0.04,-1.03
0.01,0.04,-1.03
0.01,0.04,-1.02
0.01,0.04,-1.03
0.01,0.04,-1.02
0.01,0.04,-1.02
0.01,0.04,-1.03
0.01,0.04,-1.02
0.01,0.04,-1.03
0.01,0.03,-1.03
0.01,0.04,-1.02
0.01,0.04,-1.03
0.01,0.04,-1.03
0.01,0.04,-1.03
0.01,0.04,-1.02
0.01,0.04,-1.03
0.01,0.04,-1.03
0.01,0.04,-1.02
0.01,0.04,-1.03
0.01,0.04,-1.03
0.01,0.04,-1.02
0.01,0.04,-1.03
0.01,0.04,-1.02
0.01,0.04,-1.03
0.01,0.04,-1.03
0.01,0.04,-1.02
0.01,0.04,-1.03
0.01,0.04,-1.03
0.01,0.04,-1.02
0.01,0.04,-1.03
0.01,0.04,-1.03
0.01,0.04,-1.02
0.01,0.04,-1.03
0.01,0.04,-1.03
0.01,0.04,-1.02
0.01,0.04,-1.03
0.01,0.04,-1.03
0.01,0.04,-1.02
0.01,0.04,-1.03
0.01,0.04,-1.03
0.01,0.04,-1.02
0.01,0.04,-1.03
0.01,0.04,-1.03
0.01,0.04,-1.02
0.01,0.04,-1.03
0.01,0.04,-1.02
0.01,0.04,-1.02
0.01,0.04,-1.03
0.01,0.04,-1.03
0.01,0.04,-1.02
0.01,0.04,-1.03
0.01,0.04,-1.02
0.01,0.04,-1.02
0.01,0.04,-1.03
0.01,0.04,-1.02
0.01,0.04,-1.02
0.01,0.04,-1.03
0.01,0.04,-1.02
0.01,0.04,-1.02
0.01,0.04,-1.03
0.01,0.04,-1.02
0.01,0.04,-1.03
0.01,0.04,-1.03
0.01,0.04,-1.02
0.01,0.04,-1.03
0.01,0.04,-1.03
0.01,0.04,-1.03
0.01,0.04,-1.03
0.01,0.04,-1.03
0.01,0.04,-1.02
0.01,0.04,-1.03
0.01,0.04,-1.03
0.01,0.04,-1.02
0.01,0.04,-1.03
0.01,0.04,-1.03
0.01,0.04,-1.03
0.01,0.04,-1.03
0.01,0.04,-1.02
0.01,0.04,-1.03
0.01,0.04,-1.03
0.01,0.04,-1.02
0.01,0.04,-1.03
