x,y,z
-0.01,0.05,-1.03
-0.01,0.05,-1.02
-0.01,0.05,-1.03
-0.01,0.05,-1.03
-0.01,0.05,-1.02
-0.01,0.05,-1.03
-0.01,0.05,-1.03
-0.01,0.05,-1.02
-0.01,0.05,-1.02
-0.01,0.05,-1.03
-0.01,0.05,-1.03
-0.01,0.05,-1.02
-0.01,0.05,-1.03
-0.01,0.05,-1.03
-0.01,0.05,-1.02
-0.01,0.05,-1.03
-0.01,0.05,-1.03
-0.01,0.05,-1.03
-0.01,0.05,-1.02
-0.01,0.05,-1.03
-0.01,0.05,-1.03
-0.01,0.05,-1.02
-0.01,0.05,-1.03
-0.01,0.05,-1.03
-0.01,0.05,-1.02
-0.01,0.05,-1.03
-0.01,0.05,-1.02
-0.01,0.05,-1.02
-0.01,0.05,-1.03
-0.01,0.05,-1.03
-0.01,0.05,-1.02
-0.01,0.05,-1.03
-0.01,0.05,-1.03
-0.01,0.05,-1.02
-0.01,0.05,-1.03
-0.01,0.05,-1.03
-0.01,0.05,-1.02
-0.01,0.05,-1.03
-0.01,0.05,-1.03
-0.01,0.05,-1.02
-0.01,0.05,-1.02
-0.01,0.05,-1.03
-0.01,0.05,-1.03
-0.01,0.05,-1.02
-0.01,0.05,-1.03
-0.01,0.05,-1.02
-0.01,0.05,-1.02
-0.01,0.05,-1.03
-0.01,0.05,-1.03
-0.01,0.05,-1.02
-0.01,0.05,-1.02
-0.01,0.05,-1.03
-0.01,0.05,-1.02
-0.01,0.05,-1.03
-0.01,0.05,-1.0
-0.01,0.05,-1.02
-0.01,0.05,-1.03
-0.01,0.05,-1.03
-0.01,0.05,-1.03
-0.01,0.05,-1.02
-0.01,0.05,-1.03
-0.01,0.05,-1.03
-0.01,0.05,-1.02
-0.01,0.05,-1.03
-0.01,0.05,-1.02
-0.01,0.05,-1.03
-0.01,0.05,-1.03
-0.01,0.05,-1.02
-0.01,0.05,-1.03
-0.01,0.05,-1.03
-0.01,0.05,-1.02
-0.01,0.05,-1.03
-0.01,0.05,-1.02
-0.01,0.05,-1.03
-0.01,0.05,-1.03
-0.01,0.05,-1.03
-0.01,0.05,-1.02
-0.01,0.05,-1.03
-0.01,0.05,-1.02
-0.01,0.05,-1.02
-0.01,0.05,-1.03
-0.01,0.05,-1.03
-0.01,0.05,-1.02
-0.01,0.05,-1.03
-0.01,0.05,-1.03
-0.01,0.05,-1.03
-0.01,0.05,-1.03
-0.01,0.05,-1.02
-0.01,0.05,-1.02
-0.01,0.05,-1.03
-0.01,0.05,-1.02
-0.01,0.05,-1.02
-0.01,0.05,-1.03
-0.01,0.05,-1.03
-0.01,0.05,-1.02
-0.01,0.05,-1.03
-0.01,0.05,-1.03
-0.01,0.05,-1.02
-0.01,0.05,-1.03
-0.01,0.05,-1.03
-0.01,0.05,-1.02
-0.01,0.05,-1.03
-0.01,0.05,-1.03
-0.01,0.05,-1.02
-0.01,0.05,-1.03
-0.01,0.05,-1.03
-0.01,0.05,-1.02
-0.01,0.05,-1.03
-0.01,0.05,-1.02
-0.01,0.05,-1.02
-0.01,0.05,-1.03
-0.01,0.05,-1.03
-0.01,0.05,-1.02
-0.01,0.05,-1.03
-0.01,0.05,-1.02
-0.01,0.05,-1.03
-0.01,0.05,-1.02
-0.01,0.05,-1.03
-0.01,0.05,-1.02
-0.01,0.05,-1.03
-0.01,0.05,-1.04
-0.01,0.05,-1.02
-0.01,0.05,-1.04
-0.01,0.05,-1.04
-0.01,0.05,-1.01
-0.01,0.05,-1.02
-0.01,0.05,-1.03
-0.01,0.05,-1.02
