x,y,z
-0.0,-0.04,-0.99
0.0,-0.05,-1.06
0.0,-0.04,-1.06
0.0,-0.04,-1.0
-0.0,-0.04,-0.99
0.0,-0.04,-1.07
0.0,-0.05,-1.04
-0.0,-0.04,-1.0
0.0,-0.04,-1.05
-0.0,-0.04,-1.03
-0.0,-0.05,-1.03
0.0,-0.04,-1.05
-0.0,-0.04,-1.03
-0.0,-0.04,-0.99
0.0,-0.04,-1.05
0.0,-0.04,-1.06
-0.0,-0.05,-1.0
-0.0,-0.05,-1.02
0.0,-0.04,-1.05
-0.0,-0.04,-1.0
0.0,-0.04,-1.02
-0.0,-0.04,-1.05
0.0,-0.04,-1.03
-0.0,-0.04,-1.01
0.0,-0.04,-1.05
0.0,-0.04,-1.03
-0.0,-0.04,-1.01
-0.0,-0.04,-1.05
-0.0,-0.04,-1.03
-0.0,-0.04,-1.01
0.0,-0.04,-1.04
-0.0,-0.04,-1.05
-0.0,-0.04,-1.01
-0.0,-0.04,-1.02
0.0,-0.04,-1.04
-0.0,-0.04,-1.03
0.0,-0.04,-1.03
-0.0,-0.04,-1.04
-0.0,-0.04,-1.02
-0.0,-0.04,-1.03
0.0,-0.04,-1.04
-0.0,-0.04,-1.02
-0.0,-0.04,-1.02
0.0,-0.04,-1.04
-0.0,-0.04,-1.04
0.0,-0.04,-1.02
0.0,-0.04,-1.04
-0.0,-0.04,-1.04
-0.0,-0.04,-1.02
0.0,-0.04,-1.03
-0.0,-0.04,-1.03
0.0,-0.05,-1.02
0.0,-0.04,-1.03
0.0,-0.04,-1.04
-0.0,-0.04,-1.03
0.0,-0.04,-1.03
-0.0,-0.04,-1.04
0.0,-0.04,-1.03
0.0,-0.04,-1.03
0.0,-0.05,-1.04
-0.0,-0.04,-1.03
0.0,-0.04,-1.03
0.0,-0.05,-1.03
0.0,-0.04,-1.03
0.03,-0.04,-1.03
0.0,-0.04,-1.03
0.0,-0.04,-1.03
0.0,-0.05,-1.03
-0.0,-0.04,-1.03
-0.0,-0.04,-1.03
0.0,-0.04,-1.03
0.0,-0.04,-1.03
-0.0,-0.04,-1.03
0.0,-0.04,-1.03
-0.0,-0.04,-1.03
-0.0,-0.04,-1.03
-0.0,-0.04,-1.03
0.0,-0.04,-1.03
0.0,-0.04,-1.03
-0.0,-0.04,-1.03
0.0,-0.04,-1.03
0.0,-0.04,-1.03
-0.0,-0.04,-1.03
-0.0,-0.04,-1.03
-0.0,-0.04,-1.03
-0.0,-0.04,-1.03
-0.0,-0.04,-1.03
-0.0,-0.04,-1.03
-0.0,-0.04,-1.03
0.0,-0.04,-1.03
-0.0,-0.04,-1.03
-0.0,-0.04,-1.03
0.0,-0.04,-1.03
-0.0,-0.05,-1.03
0.0,-0.04,-1.03
0.0,-0.04,-1.03
-0.0,-0.04,-1.02
0.0,-0.05,-1.07
-0.0,-0.04,-1.01
0.0,-0.04,-1.04
-0.0,-0.05,-1.02
-0.0,-0.05,-1.01
-0.0,-0.04,-1.04
-0.0,-0.04,-1.07
-0.0,-0.04,-0.99
-0.0,-0.05,-1.03
-0.0,-0.04,-1.05
0.0,-0.04,-1.03
0.0,-0.05,-1.03
0.0,-0.04,-1.06
-0.0,-0.04,-1.0
-0.0,-0.04,-1.03
0.0,-0.04,-1.07
-0.0,-0.04,-1.01
-0.0,-0.04,-1.0
-0.0,-0.04,-1.05
0.0,-0.04,-1.06
-0.0,-0.04,-0.99
0.0,-0.04,-1.06
-0.0,-0.05,-1.05
-0.0,-0.04,-0.99
0.0,-0.04,-1.03
0.0,-0.04,-1.05
-0.0,-0.04,-1.01
0.0,-0.04,-1.03
0.0,-0.04,-1.06
-0.0,-0.04,-1.01
0.0,-0.04,-1.04
