x,y,z
-0.01,0.02,-1.02
-0.01,0.03,-1.02
-0.01,0.02,-1.02
-0.01,0.02,-1.01
-0.01,0.03,-1.02
-0.01,0.02,-1.02
-0.01,0.02,-1.02
-0.01,0.02,-1.02
-0.01,0.02,-1.02
-0.01,0.02,-1.01
-0.01,0.02,-1.01
-0.01,0.03,-1.02
-0.01,0.03,-1.03
-0.01,0.02,-1.01
-0.01,0.02,-1.02
-0.01,0.03,-1.03
-0.01,0.02,-1.01
-0.01,0.02,-1.01
-0.01,0.03,-1.03
-0.01,0.02,-1.01
-0.01,0.02,-1.01
-0.01,0.03,-1.03
-0.01,0.03,-1.02
-0.01,0.02,-1.02
-0.01,0.02,-1.03
-0.01,0.02,-1.02
-0.01,0.02,-1.02
-0.01,0.03,-1.03
-0.01,0.03,-1.02
-0.01,0.02,-1.02
-0.01,0.03,-1.02
-0.01,0.02,-1.02
-0.01,0.03,-1.01
-0.01,0.03,-1.02
-0.01,0.02,-1.01
-0.01,0.02,-1.01
-0.01,0.03,-1.03
-0.01,0.02,-1.02
-0.01,0.03,-1.01
-0.01,0.03,-1.03
-0.01,0.03,-1.02
-0.01,0.02,-1.02
-0.01,0.03,-1.02
-0.01,0.02,-1.02
-0.01,0.03,-1.02
-0.01,0.03,-1.02
-0.01,0.02,-1.02
-0.01,0.02,-1.02
-0.01,0.03,-1.02
-0.01,0.02,-1.02
-0.01,0.03,-1.02
-0.01,0.03,-1.02
-0.01,0.03,-1.02
-0.01,0.02,-1.02
-0.01,0.02,-1.02
-0.01,0.02,-1.02
-0.01,0.02,-1.02
-0.01,0.03,-1.02
-0.01,0.02,-1.01
-0.01,0.03,-1.04
-0.01,0.03,-1.02
-0.01,0.02,-0.99
-0.01,0.03,-1.03
-0.01,0.03,-1.02
-0.01,0.03,-1.01
-0.01,0.02,-1.01
-0.01,0.03,-1.03
-0.01,0.02,-1.0
-0.01,0.02,-1.02
-0.01,0.03,-1.04
-0.01,0.02,-1.01
-0.01,0.03,-1.01
-0.01,0.03,-1.04
-0.01,0.02,-1.01
-0.01,0.02,-1.0
-0.01,0.03,-1.03
-0.01,0.03,-1.02
-0.01,0.02,-1.01
-0.01,0.03,-1.02
-0.01,0.03,-1.03
-0.01,0.03,-1.01
-0.01,0.02,-1.02
-0.01,0.03,-1.03
-0.01,0.02,-1.02
-0.01,0.03,-1.02
-0.01,0.03,-1.02
-0.01,0.02,-1.02
-0.01,0.02,-1.02
-0.01,0.03,-1.02
-0.01,0.02,-1.01
-0.01,0.02,-1.02
-0.01,0.03,-1.03
-0.01,0.03,-1.01
-0.01,0.02,-1.02
-0.01,0.03,-1.03
-0.01,0.02,-1.02
-0.01,0.03,-1.02
-0.01,0.03,-1.02
-0.01,0.02,-1.01
-0.01,0.03,-1.02
-0.01,0.03,-1.02
-0.01,0.02,-1.03
-0.01,0.02,-1.01
-0.01,0.02,-1.01
-0.01,0.03,-1.03
-0.01,0.02,-1.02
-0.01,0.02,-1.01
-0.01,0.03,-1.03
-0.01,0.03,-1.03
-0.01,0.02,-1.01
-0.01,0.02,-1.02
-0.01,0.03,-1.02
-0.01,0.02,-1.02
-0.01,0.03,-1.01
-0.01,0.03,-1.02
-0.01,0.03,-1.02
-0.01,0.02,-1.01
-0.01,0.03,-1.02
-0.01,0.02,-1.02
-0.01,0.03,-1.02
-0.01,0.03,-1.02
-0.01,0.03,-1.02
-0.01,0.02,-1.02
-0.01,0.02,-1.02
-0.01,0.02,-1.01
-0.01,0.02,-1.02
-0.01,0.03,-1.02
-0.01,0.02,-1.02
